"ID","X1553102_a_at","X1555136_at","X1555137_a_at","X201417_at","X202267_at","X202286_s_at","X202504_at","X202935_s_at","X203476_at","X203510_at","X203757_s_at","X204320_at","X204351_at","X204602_at","X204713_s_at","X205941_s_at","X209016_s_at","X211719_x_at","X212354_at","X212444_at","X212464_s_at","X216442_x_at","X218856_at","X219901_at","X226237_at","X227051_at","X228923_at","X229479_at","X230831_at","X241137_at","X242397_at"
"GSM388124.CEL.gz",0.769038141053296,-0.820786568425047,0.178300679276416,-0.383460541084962,0.217727014500975,0.318350239066506,0.524617153634981,-0.767237928058753,-0.508004102497487,0.000245431339300025,0.345092538935909,-0.664119025134814,0.366264892230531,0.572379501062855,-0.345479751086127,-0.228778395458307,-0.321423639090781,0.0369173371998293,-0.0744264727483828,-0.053542059259928,0.016001969126882,0.0431974647254775,-0.334639803538513,0.01929364809635,-0.330851218478327,0.429442329976077,-0.384857185850593,-0.233978484577683,-0.243778023506751,0.0507437411705954,1.83968775562261
"GSM388126.CEL.gz",-0.657543036716644,0.0733893722648786,0.80531750319473,0.594869355926038,1.46214938996206,0.53127528950154,0.573148979596129,0.710061293654601,0.202864668910506,0.739804311999176,-0.02934180343059,0.446725005618554,0.838528350958104,0.910521853424015,-0.399004892907159,0.367545385467876,0.460327044655326,0.745337432597209,0.856137958089694,0.390775916199037,0.829971725950148,0.827692229204575,-0.0434373728478443,1.00134292827089,0.234736836044716,-0.613337058080181,0.163437404240791,0.225259509280025,0.745913184045886,-0.116517124862416,1.13021879787151
"GSM388127.CEL.gz",-0.657040607061737,-0.69772495570253,0.283566371478433,0.692961593144189,0.441960392547525,0.841625963676154,-0.918638740454526,0.760767067877928,0.693813951056306,-0.00134644861675092,0.0738512005623193,-0.311052850061565,-1.39695323906098,-0.817985088541863,-0.564820690517282,0.999987927835214,0.429194232448775,0.599834193487534,0.896292437147363,-0.382372600366002,0.605778823753009,0.591930424728224,0.327485077138141,0.542397507063817,0.802549639546433,0.692679761748647,-0.423121056770116,0.360608568895599,-0.12591786418855,-0.893253614212346,1.8114722522304
"GSM388128.CEL.gz",-0.300796116823601,-1.15144660385926,-0.447519298488381,-0.605699227520084,-1.08841939590863,-1.24645415048066,-0.854260563449698,-1.4379329207845,0.359055705793249,-1.3931237189533,0.0130309382746363,-0.731184034664252,-0.14199089503357,0.35350050896356,1.53085298114014,-0.333011650293458,-1.59025470887975,0.0788018695642696,0.171086152057292,-0.13101049709782,0.0675851069468119,0.101481389464131,-0.39613695564797,-0.160157517293986,0.897382022812209,-0.629049830075474,-0.529349439527771,-0.97097480593682,-0.669911114679881,-0.80625608761698,-0.78020626144431
"GSM388129.CEL.gz",-1.11745099380466,0.264303574062562,1.18065934050342,0.596381414366972,1.9833096226628,0.68141766369236,-0.844529018317381,1.36603917248403,0.743690427212803,0.262572831423289,-0.727056285803428,0.949036020569723,0.632991129142282,1.03667214110043,-0.573186321716539,1.0783355822226,1.10996947311974,0.851132536050943,0.901540401897153,0.85723689415012,0.957307240550486,0.989431283248996,1.87395649339855,1.18950833343362,0.778368012004994,0.0758548993385927,0.237648604797364,1.5537398727339,1.05105689789808,-0.937030558035047,-0.30741856200006
"GSM388130.CEL.gz",0.595776399785299,-0.72964903897475,-0.534272049783077,-0.0950199603434706,-0.95223495143364,-0.94135713829368,-0.501499234293016,-0.776025356483135,0.113788963094834,-0.556980558433451,-0.531126709883193,-0.70291170945286,-0.570894869394375,-1.27950566383554,-1.31082940664237,-0.0935351875288469,-1.03628487399826,-0.0142892416571319,0.0485498584818353,-0.1485227249395,-0.00683193928865049,-0.0365016337230002,-0.541542364187091,-0.00823896300992917,0.623810024316129,-0.0658027233856854,-0.565435231626063,-1.02965700888363,-0.446203086552184,-0.991531603510154,-0.422987551407717
"GSM388131.CEL.gz",-0.326354918019014,-0.828653529120647,0.18937282819972,-0.119789887892517,0.21389407388389,0.425089805310251,-0.511754205737452,0.299929022751383,0.463022048607451,-0.386903855421843,0.287333995507041,0.166400399852461,-0.380678219340901,-1.04469033628372,-0.134514417862276,0.837709168801978,0.192739556833641,0.573203320861693,0.80197273318743,-0.625487443021714,0.557941261025575,0.632582618301555,0.412076537879088,0.144497660214024,0.835969647132495,0.828066428335514,-0.920002251314523,0.634095000991149,-0.331813012894217,-0.700237245101708,1.14036362476175
"GSM388132.CEL.gz",-0.912794262172418,-0.383764143890453,0.860173489139505,-0.0819944093529663,0.77545518718179,0.645904751674041,-0.535109109038131,1.16823204082282,0.273527755344737,0.707219173431111,0.00146836641118034,-0.044328677361452,0.654226208164986,0.543155786278398,-0.247332622028541,0.844502642028775,0.483928737274796,0.448946521196888,0.600658872996664,0.255427583801542,0.430405437857594,0.463170127327597,1.02706354211566,1.01216004706607,0.514645118098941,0.678325808902524,0.0107135652146204,-0.41459825417989,-0.278341171882807,-0.816755705460549,1.1906072789235
"GSM388134.CEL.gz",-0.201720102471328,-0.738777149604491,-0.217653391146733,-0.12547257942796,-0.405186396237891,0.337112573091567,-0.920144849413323,0.89914225060042,-0.0884383499303824,-0.854578277797286,-0.812049961712674,0.172846805153788,-0.853474844544468,-0.76057712211575,-0.644173501033531,0.587297068183981,-0.0937032877851592,0.267023852679782,0.290789836249155,-1.02652691179626,0.239050652919017,0.249861090855491,0.394606704429016,-0.645073595452928,0.66031943337855,0.302327054560162,-1.07642355919314,-0.139062978879201,-0.622259610431703,-0.899215509857333,1.02055145847035
"GSM388135.CEL.gz",-1.07553037824372,-0.166982556410167,0.396691237668939,-0.0762120088443258,0.280508570260129,0.479444744109527,0.485918309974157,0.68171995207012,0.271149150883491,0.0728929242421804,1.05761076418301,-0.238180545319792,0.900410364766913,0.504518140053287,0.624675237105754,0.95393204801563,0.403455131268913,0.403268237476232,0.517479009596633,0.372393956867813,0.341518051401545,0.348107644135506,0.746598520570351,0.358383979296698,0.593966690930149,1.44443388390451,0.541153147855486,0.074870433565991,0.155297521421717,0.391146378719856,0.258864386086804
"GSM388136.CEL.gz",0.475532370141722,0.346661512384595,0.305473519446599,0.535035744158267,0.638302090941489,0.569812223713826,-0.95844809104259,0.538182908186928,1.01144866785221,-0.372149960732289,-0.186747176939546,0.95657118076583,-0.698965303708639,-0.139148280369908,-0.981161309983258,1.06094817513771,0.763627144107467,0.920543001181838,1.1252882047326,-0.176177970691533,0.994628865351508,1.0378147539389,-0.0559647485382469,0.518732926215718,1.15382347980063,0.974724186280089,-0.670181074730866,1.44518522039004,0.8081140577233,-0.627177494852744,1.35995407340297
"GSM388138.CEL.gz",-1.28873280320991,0.439219867972941,1.98313385667851,0.760679195634374,2.00990701706419,0.82596288047345,0.497474552142959,0.779834734009971,1.67260246535138,1.16008087774554,0.774303575262747,1.11623779606378,0.871975204850238,1.59811005538224,-1.09229266196949,0.930529138833419,0.96528129851574,0.905649114284839,1.0092232645216,0.6046063224359,1.10694604868672,1.00963026546751,1.39247481083893,1.62434867654552,0.817382030084506,0.423449682506884,0.547083888565068,1.8711052626559,2.94037015113295,-0.526625389654929,-0.200847968405128
"GSM388139.CEL.gz",-0.765897612153474,-0.393435671651313,0.455693360821377,0.235978822265581,0.532956376939658,0.448897845699861,0.834093623793582,1.03086488316926,1.21299307499084,0.953176322559353,1.22284945945897,0.351397845124059,0.97959532300231,1.38765102837626,1.16970321728957,1.13816043975564,0.493866922830194,0.634699829671547,0.836568176077159,1.16191962052505,0.624579567169442,0.70091664020867,0.799447642262345,0.343993134530946,0.686519223914216,0.788369775950839,0.726866296794633,0.546560310389445,1.2506059954413,0.716967370841394,1.32072708553413
"GSM388140.CEL.gz",-0.0813791961779192,-1.06333580000537,-0.0801071386065795,-0.253686656165565,0.0808897473118567,0.453720931479468,-0.162070899209644,0.698147332771339,0.0798976547092946,0.169417794509694,0.999275764242205,-0.0526498912768455,0.693924777478679,-0.465422366742354,1.77448627244724,0.284778950390358,-0.0405186779549015,0.224324083764302,0.266218144290344,0.228472202265554,0.202338965395806,0.220125980322065,0.390758639643442,-0.114091241175535,0.256460912549463,1.02460216582931,-0.220366643618042,-0.435166904175821,-0.214226709051735,-0.0339856302895877,0.0640421412353584
"GSM388142.CEL.gz",-1.1110413712997,1.95056796816246,2.01843225313707,0.615119549288302,1.14546889962263,1.26637507637478,1.23419477826509,1.19756757821633,0.575392534677388,1.09657113738952,1.05271589069563,0.914756469750812,0.83821608956662,1.35838862807678,0.315065091703519,0.896604898445625,1.19307605612468,0.834075227304528,1.00864277417659,0.918966263860417,0.835013694395372,0.855118118762619,1.89186927184434,1.96945563644659,0.774535652553078,0.83123777889878,0.286761230733697,0.645681158813909,0.51240552450647,0.913016559206131,1.00935673590907
"GSM388143.CEL.gz",-1.36759310470573,-0.643995269546715,0.482420821215116,0.225734514606078,1.08762137302022,1.02769719143096,1.49133779248874,1.43888471829251,0.421758667085634,0.510097618545094,0.631573495115099,0.68709941774563,1.25695765531484,-0.151954380840964,1.27128385030221,1.23739970174637,0.447924030774812,0.697392317913086,0.811237433577685,0.650826754096281,0.685466865940554,0.732046220506727,0.544256602491437,0.508026316681552,0.770816582491703,1.15689117575303,1.06343055550916,0.582754861772358,1.31260951003864,1.39072815699672,2.0259788908194
"GSM388144.CEL.gz",-1.69079832491606,1.83047123816713,0.965131863949826,0.576982830711162,1.36150613075683,0.765093209114623,0.675892117367407,1.60723509569132,1.04193027171033,0.585632454658567,1.0766580245165,1.63610127636654,0.986036431364518,1.03029165541702,0.428880196668293,1.45069304101853,1.04538429235064,0.971597671619472,0.98735959252156,0.91654942527455,1.11118580211448,1.02103875743988,1.37806191264448,1.40375176603154,1.32377059562521,0.292290335627819,1.33597566940668,1.28274194538092,0.573650965196836,0.350211680045276,0.714208386209162
"GSM388145.CEL.gz",0.153085651423984,-1.0547185584096,-0.275634613279593,-0.279940955078615,-0.312802188168363,0.317123927080155,0.0200138208672587,0.486623024458969,-0.296001748532194,-0.581854756400315,-0.397081898821418,-0.0992308482062375,-0.680323621812018,-0.75476829589888,-0.695805367542835,0.229500556256861,-0.414570939100665,0.339993926808674,0.354822430996849,-0.742142841811623,0.327720570304141,0.329332211236922,-0.237777733903985,-0.422984719609034,0.249999169292934,0.0179605523792394,-0.948298371242486,-0.209546254852695,-0.750233559481605,-0.53957016732154,0.814239976500057
"GSM388146.CEL.gz",-1.3787226869351,0.443455638834905,1.02699021668087,0.328072978284102,0.243647991029452,-0.239441528599264,0.557744305072495,0.905684855733287,0.61024106691447,0.568079217467959,1.09683266154593,0.788353462802543,1.02625711243532,-0.514538423544508,1.37836119942988,1.40712140723432,0.275022115339617,0.679078545352365,0.801057768397892,0.778783309239629,0.667134087702811,0.715753053373415,0.616368087750976,0.920307479719,0.910845565411571,1.96426602569381,2.13677032878903,0.522341735158358,-0.590699498963749,0.941713633919922,1.14898638704899
"GSM388147.CEL.gz",-0.021248625962968,1.17504550248902,1.54301643448338,0.370122086527567,0.943599339925109,0.685510056637431,-0.428053124319629,1.04473425202078,0.343697471411848,0.301467852961033,0.440404260622064,0.476156434062385,0.497307371540271,-0.34406022786527,1.48081660983303,0.739507354578709,0.160989513776629,0.607624098873257,0.782312892797489,0.368391377986263,0.589208827662927,0.641917453563847,0.597174077033807,1.4412849331166,0.724511095445016,0.676930751737562,0.890431440481161,0.545386781496891,-0.0671732598202505,-0.094357301643854,1.64686755210711
"GSM388149.CEL.gz",0.266129395279221,-0.80588449761256,-0.223465574124681,0.291146596361229,0.00721960416869485,0.142901488567026,0.123055217645556,0.588427675737448,0.703777721251524,-0.164197624534264,-1.21110223145424,1.47304951059823,0.984042582718136,-0.207011744613349,-0.717551000742692,1.38928946767205,0.581247790993979,1.03637686080455,1.3314025221955,0.403748805206664,1.21777409366271,1.12436131387909,0.820026372574245,-0.0954885699926174,1.21071861776067,1.14904940939959,-0.343131526438019,1.54849508252639,0.346415309579849,1.60601231306655,0.983212583321085
"GSM388152.CEL.gz",0.20957796973932,-0.229585921795555,0.849519939704125,0.407604634656113,1.23668315311934,0.581272729810701,0.126924611692339,0.274744302512235,1.02998212649621,0.529114588344361,0.676773720309402,1.09157577029394,0.0982191617326692,-0.277348421052927,-0.667495311250202,1.12437746061788,0.532843078352516,0.806132037429491,0.955195161946142,-0.0250256241502065,0.902049870556255,0.856426881740112,0.575692656840313,0.765978224768148,1.26335526844289,0.0580948895253915,0.090144945928227,1.30847824414454,0.120691564535003,-0.693567274057787,1.35027322358527
"GSM414924.cel.gz",-0.650571280279301,0.753012000768529,0.375871547804091,0.377551524072891,0.724188004822755,0.331267444508552,0.702477780254019,1.27005701717281,1.03735801644344,0.530112893148376,1.15658112299881,0.544882064956405,1.10298023433607,-0.834033216120383,1.82763498520609,0.585283516814046,0.737826535764786,0.323414877522142,0.25735957689027,0.696847447422489,0.231592488692456,0.238309893658038,1.03607651064429,0.495760378505021,0.199106424308509,0.686489962571205,1.22751356774549,0.0234987251389171,-0.0465473625670208,1.01638792813101,0.585118060720705
"GSM414925.cel.gz",0.508308883163846,1.40009992845515,1.19357459327443,1.05992347129842,1.03268944218934,1.37097866365394,1.40273274481398,0.888991913333894,1.72689419185472,1.39586438944925,1.35663431453348,1.27712510589911,1.20337882984491,-0.418744128357174,-0.175922460765722,0.905271287316274,1.30850514769057,0.809540907283999,0.611693749628173,1.01329143483472,0.803851555481959,0.818322040480767,1.02429869792318,1.07798177170486,0.640147467972675,0.380819979317619,0.658296577296048,1.18602623882218,-0.0464965327251787,1.66337499204102,0.684273204096726
"GSM414926.cel.gz",0.023808881266821,0.716545956979881,0.495988193523041,0.165475082512354,1.19846661170418,1.08266804852856,1.13169830280825,1.10803169407525,0.663190142459262,1.62691891335714,1.22352999335091,0.429918512216041,0.974599065021306,2.34957461713222,2.195520705651,-0.0164816984677205,1.25298432210467,0.0791500265735294,-0.121961247855174,1.07360376010869,-0.0215709938891872,0.0331011340964742,1.13184877049638,0.691660050305309,-0.255277294133747,0.892138048742583,1.39989323277755,0.155514220550352,1.22247852218276,0.318902863960046,-0.870177692489058
"GSM414927.cel.gz",0.935816750337499,-0.887753023801893,-1.13348023771927,-0.710362543738335,-1.61204663811409,-0.090083406673247,-1.1370272458894,0.419932189802892,-0.498367778119992,-0.616951714014944,0.253031817699154,-1.1275035043191,-0.669906070838309,-1.28731422233873,0.17563099139297,-1.22183597214679,-0.669282716156954,-0.652107790116603,-1.25175519733928,-1.48601343856012,-0.807445268703763,-0.853134870719295,-0.656742469249054,-0.924373167459936,-0.546935606671183,-0.294778968155952,-1.25451722308638,-1.35731288009755,-0.709940922342071,-0.923316073770438,-0.912142075289474
"GSM414929.cel.gz",0.301996600847119,-0.0703904379902892,0.184306419463738,0.360772735869909,-0.453341986525315,0.82319649499581,1.25394679750702,0.505999792171157,0.390799788559288,0.632809890784514,0.939206979081357,0.0792884974940486,1.50705311738503,1.9294352017824,0.643060506577654,0.0989699422795016,0.975609509106735,0.171097150110826,0.378590458046465,1.44751523389961,0.0891931587641351,0.116656943857522,0.921140134798491,0.0902753202240354,0.177353520431132,1.91463354466315,0.308116158797048,-0.726411880582116,1.31828049202494,2.37829647610679,-1.63625325258417
"GSM414930.cel.gz",0.896925288298222,-0.935482103770303,-1.83878108592163,-1.55370706794448,-1.51193863813015,-0.054928437892414,-1.21712772320549,0.33925492243921,-0.47407942871721,-0.631651716486148,-0.864909655556744,-1.42591634955438,-1.3100003260437,-0.88318725352949,-0.833777923868131,-1.91238686539656,-0.776683510231254,-1.24335030435469,-1.45326280958566,-0.785032436066767,-1.46312748702292,-1.28751441029396,-0.543335618061994,-1.78108944869183,-1.43349632287417,-0.926842921590385,-1.29673155297927,-1.42956291992335,-1.62753723475316,-0.85476142655792,-0.787126204938848
